,cluster,Name
270,2,U30-VAISHALI BRANCH
271,4,A01-AHMEDABAD APEX
272,2,A11-KHOKHRA BRANCH
273,2,A24-AHMEDABAD BRANCH
274,2,A36-AHMEDABAD WEST BRANCH
275,1,A48-CHILODA BRANCH
276,1,A44-ANAND BRANCH
277,1,A07-ANKLESHWAR BRANCH
278,2,A02-BARODA BRANCH
279,2,A17-BARODA SCS APEX
280,1,A27-BHAVNAGAR SORTING OFFICE
281,4,A47-BHUJ SUPER FRANCHISEE
282,4,A51-DAHEJ SORTING OFFICE
283,1,A38-GANDHINAGAR BRANCH
284,4,A49-HALOL BRANCH
285,1,A33-JAMNAGAR BRANCH
286,1,A16-KUTCH DDLP SUPER FRANCHISE
287,1,A18-MEHSANA BRANCH
288,2,A03-RAJKOT BRANCH
289,1,A50-SANAND BRANCH
290,1,A04-SURAT APEX
291,2,A46-SURAT CITY BRANCH
292,1,A45-SURENDRANAGAR BRANCH
293,2,A05-VAPI BRANCH
294,1,I39-BETUL BRANCH
295,2,I02-BHOPAL BRANCH
296,0,I10-BHOPAL T/S APEX
297,4,I11-CHHINDWARA SORTING OFFICE
298,1,I20-DEWAS BRANCH
299,3,I01-INDORE APEX
300,2,I04-INDORE T/S APEX
301,4,I24-INDORE SCS APEX
302,2,I08-JABALPUR BRANCH
303,1,I30-SHAHDOL NODAL POINT
304,1,I16-MANDSAUR SORTING OFFICE
305,1,I29-NEEMUCH NODAL POINT
306,1,I03-PITHAMPUR SUB BRANCH
307,1,I07-RATLAM SORTING OFFICE
308,1,I19-REWA BRANCH
309,1,I34-SAGAR BRANCH
310,0,I40-UJJAIN SORTING OFFICE
311,0,M33-MUMBAI VADPE APEX
312,2,M35-BHIWANDI BRANCH
313,3,M01-LOWER PAREL BRANCH
314,3,M02-FORT BRANCH
315,2,M04-MIDC BRANCH
316,3,M05-GOREGAON BRANCH
317,2,M06-GHATKOPAR BRANCH
318,3,M07-THANE BRANCH
319,3,M08-VASHI BRANCH
320,1,M10-MUMBAI SAKINAKA APEX
321,0,M13-MUMBAI INTERNATIONAL APEX
322,2,M39-PANVEL BRANCH
323,2,M45-CHEMBUR BRANCH
324,2,M46-VASAI BRANCH
325,2,M47-KALYAN BRANCH
326,2,M48-ANDHERI BRANCH
327,2,M54-MAROL BRANCH
328,1,M57-BOISAR BRANCH
329,2,M59-BHANDUP BRANCH
330,2,M61-DAHISAR SORTING OFFICE
331,2,M66-MAHAPE BRANCH
332,2,M68-BANDRA SORTING OFFICE
333,0,M69-MUMBAI DP PROCESSING CENTRE APEX
334,2,M78-ANDHERI WEST BRANCH
335,1,M63-WADKAL BRANCH
336,1,R04-AKOLA BRANCH
337,1,R12-AMRAVATI BRANCH
338,1,R29-AMBIKAPUR NODAL POINT
339,1,R08-BHILLAI BRANCH
340,4,R07-BILASPUR BRANCH
341,1,R02-CHANDRAPUR SUPER FRANCHISE
342,1,R28-KHAMGAON SORTING OFFICE
343,4,R10-KORBA BRANCH
344,4,R01-NAGPUR APEX
345,1,R05-NAGPUR T/S APEX
346,1,R11-NAGPUR WADI APEX
347,3,R32-NAGPUR KHAMLA BRANCH
348,1,R19-RAIGARH BRANCH
349,2,R06-RAIPUR APEX
350,1,R13-YAVATMAL SUPER FRANCHISEE
351,1,P08-AHMEDNAGAR SUPER FRANCHISEE
352,2,P09-AURANGABAD BRANCH
353,1,P56-WALUJ BRANCH
354,1,P25-BARAMATI MASTER FRANCHISEE
355,1,P21-CHIPLUN BRANCH
356,1,P38-DHULE BRANCH
357,1,P62-ICHALKARANJI SORTING OFFICE
358,1,P20-JALGAON SUPER FRANCHISEE
359,1,P61-JALNA SORTING OFFICE
360,1,P26-KANKAVALI BRANCH
361,2,P11-KOLHAPUR BRANCH
362,1,P16-LATUR BRANCH
363,4,P72-BEED BRANCH
364,1,P17-NANDED SUPER FRANCHISEE
365,2,P19-NASIK BRANCH
366,1,P29-PANDHARPUR SORTING OFFICE
367,4,P58-PARBHANI BRANCH
368,1,P01-PUNE APEX
369,3,P04-PUNE PIMPRI BRANCH
370,3,P12-PUNE SHIVAJI NAGAR BRANCH
371,2,P15-MARKET YARD BRANCH
372,2,P22-KOTHRUD BRANCH
373,2,P24-VIMAN NAGAR BRANCH
374,2,P27-PUNE - HADAPSAR ROAD MASTER FRANCHISEE
375,2,P50-CHAKAN BRANCH
376,1,P65-RANJANGAON BRANCH
377,1,P73-TALEGAON BRANCH
378,1,P60-RATNAGIRI BRANCH
379,1,P10-SANGLI SUPER FRANCHISEE
380,1,P13-SATARA SUPER FRANCHISEE
381,1,P32-KARAD SORTING OFFICE
382,4,P71-SHIRDI-NODAL POINT
383,1,P57-SHIRWAL BRANCH
384,1,P06-SOLAPUR BRANCH
385,4,P28-TEMBHURNI SORTING OFFICE
386,1,W09-ANGUL BRANCH
387,1,W06-BALASORE BRANCH
388,1,W04-BERHAMPUR BRANCH
389,1,W14-BHADRAK SORTING OFFICE
390,4,W10-BHUBANESHWAR SURFACE APEX
391,0,W11-BHUBANESHWAR T/S APEX
392,1,W21-RUCHIKA MARKET BRANCH
393,2,W52-MANCHESWAR BRANCH
394,1,W53-BHUBANESWAR AIR APEX
395,1,W23-BOLANGIR SORTING OFFICE
396,2,W02-CUTTACK BRANCH
397,1,W05-JAJPUR ROAD BRANCH
398,1,W12-JHARSUGUDA BRANCH
399,1,W40-KHURDA NODAL POINT
400,1,W22-JEYPORE SORTING OFFICE
401,1,W44-PARADEEP NODAL POINT
402,1,W15-PURI SORTING OFFICE
403,1,W08-RAYAGADA SUB BRANCH
404,1,W03-ROURKELA BRANCH
405,1,W07-SAMBALPUR BRANCH
406,1,K104-ALIPURDUAR BRANCH
407,1,K22-ASANSOL BRANCH
408,1,K37-BAHARAMPORE BRANCH
409,1,K63-BANKURA SUPER FRANCHISE
410,1,K130-BARUIPUR BRANCH
411,1,K85-BOLPUR BRANCH
412,1,K45-BURDWAN BRANCH
413,1,K79-COOCHBEHAR BRANCH
414,1,K84-DARJEELING BRANCH
415,4,K29-DIAMOND HARBOR SORTING OFFICE
416,2,K14-DURGAPUR BRANCH
417,1,K54-FULIA BRANCH
418,1,K51-GANGTOK BRANCH
419,1,K89-HALDIA BRANCH
420,2,K08-HOWRAH BRANCH
421,1,K72-KONA BRANCH
422,4,K95-KOLKATA PAKURIA APEX
423,4,K114-KALINGPONG HELIX SORTING OFFICE
424,2,K40-KHARAGPUR BRANCH
425,3,K01-MOULALI BRANCH
426,3,K05-RAJARHAT BRANCH
427,2,K06-AGARPARA SUPER FRANCHISEE
428,2,K07-TARATALA(GOPALPUR) MASTER FRANCHISEE
429,1,K16-KOLKATA RAJARHAT APEX
430,1,K26-KOLKATA INTERNATIONAL APEX
431,1,K28-BY-PASS BRANCH
432,2,K39-LAKE VIEW BRANCH
433,1,K65-KOLKATA HP APEX
434,2,K68-SALT LAKE BRANCH
435,2,K75-GARIA BRANCH
436,2,K88-CAMAC STREET BRANCH
437,1,K03-KRISHNANAGAR BRANCH
438,2,K23-MALDA BRANCH
439,1,K129-KHAPRAIL BRANCH
440,4,K132-MOYNAGURI HELIX SORTING OFFICE
441,1,K32-MECHEDA BRANCH
442,4,K56-PORT BLAIR BRANCH
443,1,K27-PURULIA SUB BRANCH
444,1,K82-RANGPO SUB BRANCH
445,1,K119-PUNJABI MORE BRANCH
446,2,K81-SERAMPORE SUPER FRANCHISEE
447,1,K15-SILIGURI BRANCH
448,1,K66-SILIGURI-MATIGARA APEX
449,0,K96-NORTH BENGAL T/S APEX
450,1,X03-AGARTALA APEX
451,0,X35-HGB ROAD BRANCH
452,4,X07-AIZAWLSORTING OFFICE
453,1,X13-BONGAIGAON SORTING OFFICE
454,1,X34-BARPETA BRANCH
455,1,X30-DHARMANAGAR BRANCH
456,1,X23-DHUBRI BRANCH
457,0,X04-DIBRUGARH BRANCH
458,1,X21-DIBRUGARH APEX
459,1,X18-GOALPARA BRANCH
460,1,X27-GOLAGHAT BRANCH
461,1,X01-DHARAPUR APEX
462,4,X10-LANUNG GAON BRANCH
463,3,X22-DISPUR BRANCH
464,0,X36-AMINGAON BRANCH
465,4,X12-IMPHAL SORTING OFFICE
466,1,X25-ITANAGAR BRANCH
467,1,X15-JORHAT SORTING OFFICE
468,4,X32-DIMAPUR BRANCH
469,1,X37-MORAN BRANCH
470,1,X19-NAGAON BRANCH
471,1,X33-JAGIROAD BRANCH
472,1,X28-NORTH LAKHIMPUR BRANCH
473,1,X06-SHILLONG SORTING OFFICE
474,1,X26-SIVASAGAR BRANCH
475,1,X02-SILCHAR SORTING OFFICE
476,1,X05-TEZPUR APEX
477,1,X17-TINSUKIA SORTING OFFICE
478,1,T42-BEGUSARAI SORTING OFFICE
479,1,T06-BHAGALPUR BRANCH
480,1,T09-BOKARO BRANCH
481,1,T38-CHAPRA SORTING OFFICE
482,1,T26-DARBHANGA SORTING OFFICE
483,1,T04-DHANBAD BRANCH
484,1,T86-DUMKA BRANCH
485,1,T07-GAYA BRANCH
486,1,T87-GODDA BRANCH
487,1,T39-GOPALGUNJ SORTING OFFICE
488,1,T34-HAZARIBAGH SUB BRANCH
489,2,T03-JAMSHEDPUR BRANCH
490,1,T16-KATIHAR SORTING OFFICE
491,1,T88-MOHANIA BRANCH
492,1,T36-MOTIHARI BRANCH
493,1,T18-JAMALPUR SUPER FRANCHISEE
494,1,T05-MUZAFFARPUR BRANCH
495,2,T01-PATNA APEX
496,4,T10-ZERO MILE BRANCH
497,0,T17-BIHAR T/S APEX
498,2,T32-EXHIBITION ROAD BRANCH
499,1,T13-PURNEA BRANCH
500,2,T02-RANCHI APEX
501,0,T14-RANCHI CITY BRANCH
502,0,T35-JHARKHAND T/S APEX
503,4,T15-SAHARSA SORTING OFFICE
504,1,T85-SAMASTIPUR SORTING OFFICE
505,1,T40-HAZIPUR SORTING OFFICE
