,cluster,Name
305,3,I29-NEEMUCH NODAL POINT
306,3,I03-PITHAMPUR SUB BRANCH
307,4,I07-RATLAM SORTING OFFICE
308,3,I19-REWA BRANCH
309,3,I34-SAGAR BRANCH
310,1,I40-UJJAIN SORTING OFFICE
311,1,M33-MUMBAI VADPE APEX
312,2,M35-BHIWANDI BRANCH
313,4,M01-LOWER PAREL BRANCH
314,4,M02-FORT BRANCH
315,4,M04-MIDC BRANCH
316,4,M05-GOREGAON BRANCH
317,4,M06-GHATKOPAR BRANCH
318,4,M07-THANE BRANCH
319,4,M08-VASHI BRANCH
320,2,M10-MUMBAI SAKINAKA APEX
321,1,M13-MUMBAI INTERNATIONAL APEX
322,4,M39-PANVEL BRANCH
323,4,M45-CHEMBUR BRANCH
324,4,M46-VASAI BRANCH
325,4,M47-KALYAN BRANCH
326,4,M48-ANDHERI BRANCH
327,4,M54-MAROL BRANCH
328,4,M57-BOISAR BRANCH
329,4,M59-BHANDUP BRANCH
330,4,M61-DAHISAR SORTING OFFICE
331,4,M66-MAHAPE BRANCH
332,2,M68-BANDRA SORTING OFFICE
333,1,M69-MUMBAI DP PROCESSING CENTRE APEX
334,4,M78-ANDHERI WEST BRANCH
335,3,M63-WADKAL BRANCH
336,3,R04-AKOLA BRANCH
337,4,R12-AMRAVATI BRANCH
338,2,R29-AMBIKAPUR NODAL POINT
339,2,R08-BHILLAI BRANCH
340,3,R07-BILASPUR BRANCH
341,2,R02-CHANDRAPUR SUPER FRANCHISE
342,3,R28-KHAMGAON SORTING OFFICE
343,3,R10-KORBA BRANCH
344,0,R01-NAGPUR APEX
345,3,R05-NAGPUR T/S APEX
346,2,R11-NAGPUR WADI APEX
347,4,R32-NAGPUR KHAMLA BRANCH
348,4,R19-RAIGARH BRANCH
349,2,R06-RAIPUR APEX
350,2,R13-YAVATMAL SUPER FRANCHISEE
351,2,P08-AHMEDNAGAR SUPER FRANCHISEE
352,4,P09-AURANGABAD BRANCH
353,4,P56-WALUJ BRANCH
354,4,P25-BARAMATI MASTER FRANCHISEE
355,3,P21-CHIPLUN BRANCH
356,3,P38-DHULE BRANCH
357,4,P62-ICHALKARANJI SORTING OFFICE
358,3,P20-JALGAON SUPER FRANCHISEE
359,3,P61-JALNA SORTING OFFICE
360,3,P26-KANKAVALI BRANCH
361,4,P11-KOLHAPUR BRANCH
362,4,P16-LATUR BRANCH
363,3,P72-BEED BRANCH
364,3,P17-NANDED SUPER FRANCHISEE
365,2,P19-NASIK BRANCH
366,3,P29-PANDHARPUR SORTING OFFICE
367,3,P58-PARBHANI BRANCH
368,4,P01-PUNE APEX
369,4,P04-PUNE PIMPRI BRANCH
370,4,P12-PUNE SHIVAJI NAGAR BRANCH
371,4,P15-MARKET YARD BRANCH
372,4,P22-KOTHRUD BRANCH
373,4,P24-VIMAN NAGAR BRANCH
374,4,P27-PUNE - HADAPSAR ROAD MASTER FRANCHISEE
375,4,P50-CHAKAN BRANCH
376,4,P65-RANJANGAON BRANCH
377,3,P73-TALEGAON BRANCH
378,2,P60-RATNAGIRI BRANCH
379,4,P10-SANGLI SUPER FRANCHISEE
380,4,P13-SATARA SUPER FRANCHISEE
381,2,P32-KARAD SORTING OFFICE
382,3,P71-SHIRDI-NODAL POINT
383,4,P57-SHIRWAL BRANCH
384,4,P06-SOLAPUR BRANCH
385,2,P28-TEMBHURNI SORTING OFFICE
386,4,W09-ANGUL BRANCH
387,4,W06-BALASORE BRANCH
388,4,W04-BERHAMPUR BRANCH
389,4,W14-BHADRAK SORTING OFFICE
390,0,W10-BHUBANESHWAR SURFACE APEX
391,1,W11-BHUBANESHWAR T/S APEX
392,4,W21-RUCHIKA MARKET BRANCH
393,4,W52-MANCHESWAR BRANCH
394,4,W53-BHUBANESWAR AIR APEX
395,4,W23-BOLANGIR SORTING OFFICE
