,cluster,Name
392,0,W21-RUCHIKA MARKET BRANCH
393,1,W52-MANCHESWAR BRANCH
394,0,W53-BHUBANESWAR AIR APEX
395,0,W23-BOLANGIR SORTING OFFICE
396,1,W02-CUTTACK BRANCH
397,0,W05-JAJPUR ROAD BRANCH
398,0,W12-JHARSUGUDA BRANCH
399,0,W40-KHURDA NODAL POINT
400,0,W22-JEYPORE SORTING OFFICE
401,0,W44-PARADEEP NODAL POINT
402,0,W15-PURI SORTING OFFICE
403,0,W08-RAYAGADA SUB BRANCH
404,0,W03-ROURKELA BRANCH
405,0,W07-SAMBALPUR BRANCH
406,0,K104-ALIPURDUAR BRANCH
407,0,K22-ASANSOL BRANCH
408,0,K37-BAHARAMPORE BRANCH
409,0,K63-BANKURA SUPER FRANCHISE
410,0,K130-BARUIPUR BRANCH
411,0,K85-BOLPUR BRANCH
412,0,K45-BURDWAN BRANCH
413,0,K79-COOCHBEHAR BRANCH
414,0,K84-DARJEELING BRANCH
415,4,K29-DIAMOND HARBOR SORTING OFFICE
416,0,K14-DURGAPUR BRANCH
417,0,K54-FULIA BRANCH
418,0,K51-GANGTOK BRANCH
419,0,K89-HALDIA BRANCH
420,0,K08-HOWRAH BRANCH
421,0,K72-KONA BRANCH
422,4,K95-KOLKATA PAKURIA APEX
423,4,K114-KALINGPONG HELIX SORTING OFFICE
424,0,K40-KHARAGPUR BRANCH
425,2,K01-MOULALI BRANCH
426,2,K05-RAJARHAT BRANCH
427,1,K06-AGARPARA SUPER FRANCHISEE
428,1,K07-TARATALA(GOPALPUR) MASTER FRANCHISEE
429,0,K16-KOLKATA RAJARHAT APEX
430,0,K26-KOLKATA INTERNATIONAL APEX
431,0,K28-BY-PASS BRANCH
432,1,K39-LAKE VIEW BRANCH
433,0,K65-KOLKATA HP APEX
434,1,K68-SALT LAKE BRANCH
435,1,K75-GARIA BRANCH
436,1,K88-CAMAC STREET BRANCH
437,0,K03-KRISHNANAGAR BRANCH
438,0,K23-MALDA BRANCH
439,0,K129-KHAPRAIL BRANCH
440,4,K132-MOYNAGURI HELIX SORTING OFFICE
441,0,K32-MECHEDA BRANCH
442,4,K56-PORT BLAIR BRANCH
443,0,K27-PURULIA SUB BRANCH
444,0,K82-RANGPO SUB BRANCH
445,0,K119-PUNJABI MORE BRANCH
446,1,K81-SERAMPORE SUPER FRANCHISEE
447,4,K15-SILIGURI BRANCH
448,4,K66-SILIGURI-MATIGARA APEX
449,3,K96-NORTH BENGAL T/S APEX
450,0,X03-AGARTALA APEX
451,3,X35-HGB ROAD BRANCH
452,4,X07-AIZAWLSORTING OFFICE
453,0,X13-BONGAIGAON SORTING OFFICE
454,0,X34-BARPETA BRANCH
455,0,X30-DHARMANAGAR BRANCH
456,0,X23-DHUBRI BRANCH
457,3,X04-DIBRUGARH BRANCH
458,0,X21-DIBRUGARH APEX
459,0,X18-GOALPARA BRANCH
460,0,X27-GOLAGHAT BRANCH
461,4,X01-DHARAPUR APEX
462,4,X10-LANUNG GAON BRANCH
463,2,X22-DISPUR BRANCH
464,3,X36-AMINGAON BRANCH
465,4,X12-IMPHAL SORTING OFFICE
466,0,X25-ITANAGAR BRANCH
467,0,X15-JORHAT SORTING OFFICE
468,4,X32-DIMAPUR BRANCH
469,0,X37-MORAN BRANCH
470,0,X19-NAGAON BRANCH
471,0,X33-JAGIROAD BRANCH
472,0,X28-NORTH LAKHIMPUR BRANCH
473,0,X06-SHILLONG SORTING OFFICE
474,0,X26-SIVASAGAR BRANCH
475,0,X02-SILCHAR SORTING OFFICE
476,0,X05-TEZPUR APEX
477,0,X17-TINSUKIA SORTING OFFICE
478,0,T42-BEGUSARAI SORTING OFFICE
479,0,T06-BHAGALPUR BRANCH
480,0,T09-BOKARO BRANCH
481,4,T38-CHAPRA SORTING OFFICE
482,4,T26-DARBHANGA SORTING OFFICE
483,4,T04-DHANBAD BRANCH
484,0,T86-DUMKA BRANCH
485,0,T07-GAYA BRANCH
486,0,T87-GODDA BRANCH
487,0,T39-GOPALGUNJ SORTING OFFICE
488,0,T34-HAZARIBAGH SUB BRANCH
489,1,T03-JAMSHEDPUR BRANCH
490,4,T16-KATIHAR SORTING OFFICE
491,0,T88-MOHANIA BRANCH
